Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"click(findTestObject(""TypeOfService/Type of service-11/Page_ODTS System/fieldSearch""))",Chrome 73.0.3683.86,,2019-04-03 16:42:43,2019-04-03 16:42:43,0.238s,PASSED
"setText(findTestObject(""TypeOfService/Type of service-11/Page_ODTS System/input""), ""anhtest22"")",Chrome 73.0.3683.86,,2019-04-03 16:42:43,2019-04-03 16:42:43,0.214s,PASSED
waitForAlert(1),Chrome 73.0.3683.86,,2019-04-03 16:42:43,2019-04-03 16:42:44,1.021s,PASSED
"click(findTestObject(""TypeOfService/Type of service-11/Page_ODTS System/button_anhtest22_btn btn-dange""))",Chrome 73.0.3683.86,,2019-04-03 16:42:44,2019-04-03 16:42:45,0.193s,PASSED
"click(findTestObject(""TypeOfService/Type of service-11/Page_ODTS System/button_Chp Nhn Xa""))",Chrome 73.0.3683.86,,2019-04-03 16:42:45,2019-04-03 16:42:45,0.163s,PASSED
waitForAlert(1),Chrome 73.0.3683.86,,2019-04-03 16:42:45,2019-04-03 16:42:46,1.017s,PASSED
"click(findTestObject(""TypeOfService/Type of service-11/Page_ODTS System/button_OK""))",Chrome 73.0.3683.86,,2019-04-03 16:42:46,2019-04-03 16:42:46,0.157s,PASSED
"verifyElementVisible(findTestObject(""TypeOfService/Type of service-11/Page_ODTS System/td_Khng c d liu ph hp""))",Chrome 73.0.3683.86,,2019-04-03 16:42:46,2019-04-03 16:42:46,0.098s,PASSED
"fileNameCre = ""creDateGuide.txt""",Chrome 73.0.3683.86,,2019-04-03 16:42:46,2019-04-03 16:42:46,0.001s,PASSED
"fileNameUp = ""upDateGuide.txt""",Chrome 73.0.3683.86,,2019-04-03 16:42:46,2019-04-03 16:42:46,0.000s,PASSED
"workingDirectory = System.getProperty(""user.dir"")",Chrome 73.0.3683.86,,2019-04-03 16:42:46,2019-04-03 16:42:46,0.000s,PASSED
absoluteFilePathCre = workingDirectory + separator + fileNameCre,Chrome 73.0.3683.86,,2019-04-03 16:42:46,2019-04-03 16:42:46,0.001s,PASSED
absoluteFilePathUp = workingDirectory + separator + fileNameUp,Chrome 73.0.3683.86,,2019-04-03 16:42:46,2019-04-03 16:42:46,0.000s,PASSED
writer2 = new java.io.PrintWriter(absoluteFilePathCre),Chrome 73.0.3683.86,,2019-04-03 16:42:46,2019-04-03 16:42:46,0.006s,PASSED
"writer2.print("""")",Chrome 73.0.3683.86,,2019-04-03 16:42:46,2019-04-03 16:42:46,0.003s,PASSED
writer2.close(),Chrome 73.0.3683.86,,2019-04-03 16:42:46,2019-04-03 16:42:46,0.001s,PASSED
writer = new java.io.PrintWriter(absoluteFilePathUp),Chrome 73.0.3683.86,,2019-04-03 16:42:46,2019-04-03 16:42:46,0.001s,PASSED
"writer.print("""")",Chrome 73.0.3683.86,,2019-04-03 16:42:46,2019-04-03 16:42:46,0.000s,PASSED
writer.close(),Chrome 73.0.3683.86,,2019-04-03 16:42:46,2019-04-03 16:42:46,0.001s,PASSED
closeBrowser(),Chrome 73.0.3683.86,,2019-04-03 16:42:46,2019-04-03 16:42:47,0.774s,PASSED
